,review,Total Star,Menu,Star_opt,Output
194,역시 최고로 맛있습니다,★★★★★,후라이드반＋양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
195,바삭하고 느끼하지않아 맛있게 먹었어요  치킨 다먹을때까지 눅눅해지지않고 튀김옷이 바삭해서 진짜맛있어요,★★★★★,후라이드반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",3.81
196,맛았게 잘 먹었습니다,★★★★★,단짠치킨 윙봉/1(소스추가(핫양념소스)),"
맛
★
5
양
★
5
배달
★
5
",4.8
197,항상 빠른배달이랑 맛도 너무좋아요,★★★★★,핫뿌레이크/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
198,튀김옷도 바삭하고 양념 간장 모두 맛있게 먹었어요다 못먹어서 냉장고 보관한 것도 먹었는데 너무 부드럽고 좋네요,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.6
199,후라이드 맛잇어용 바삭하궁,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.79
201,오늘도 정말 맛있게 잘 먹었습니다,★★★★★,"오곡 파닭 치킨/1(부위선택 택 1(순살（다리살）),사이드 추가(해쉬브라운（8EA）))","
맛
★
5
양
★
5
배달
★
5
",4.8
202,오늘도 맛있게 잘 먹었습니다항상 변함없는 맛,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.6
203,맛있게 잘 먹었습니다,★★★★★,갈릭반＋핫양념반/1(옵션변경(윙봉（날개）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
204,바삭바삭하고 맛있어요기름이 신선한거 같아요,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
205,맛있게 잘먹었습니다,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
206,배달도 빨리오구 치킨도 맛있네요 잘먹었습니다,★★★★,단짠치킨/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
207,맛있게 잘 먹었습니다,★★★★★,핫뿌레이크 윙봉/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
208,오늘도 맛있게 잘 먹었습니다,★★★★★,후라이드반＋양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
209,리뷰가 좀 늦었네요 어제 치맥했는데 달콤찝짤하니 역시 또래오래 베스트메뉴에요 ㅎㅎㅎ 항상 잘 먹고있습니다 번창하세요,★★★★★,갈릭반＋핫양념반/1(옵션변경(윙봉（날개）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
210,잘먹었습니다,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(양념),두마리 치킨2 선택 택 1(후라이드)),콘듀디핑소스/1","
맛
★
5
양
★
5
배달
★
5
",5.0
211,맛있게 잘 먹었습니다,★★★★★,후라이드반＋양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
212,항상 최고네요 역시 전국구 지점입니다,★★★★★,"치킨＋바삭한근위튀김/1(치킨 선택 택 1(후반양반),세트 부위선택 택 1(한마리))","
맛
★
5
양
★
5
배달
★
5
",5.0
213,리뷰가 늦어서 죄송합니다ㅠㅠ오늘도 정말 맛있게 잘 먹었습니다 사장님 언제나 빠른 배달 최고의 맛 친절한 서비스 보여주셔서 감사합니다,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(후라이드),두마리 치킨2 선택 택 1(후라이드))","
맛
★
5
양
★
5
배달
★
5
",5.0
214,반반이랑 근위맛있어요,★★★★★,"치킨＋바삭한근위튀김/1(치킨 선택 택 1(후반양반),세트 부위선택 택 1(한마리))","
맛
★
5
양
★
5
배달
★
5
",2.75
215,치킨 젤맛있어요 해쉬브라운도 너무 좋고요,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
216,맛있게 잘 먹겠습니다 우리 강아지 보고 가세요,★★★★★,콘듀치킨 순살/1(소스추가(맵부심만렙소스)),"
맛
★
5
양
★
5
배달
★
4
",5.0
217,맵기보단 좀 짠데 맛은 나쁘지 않았습니다,★★★★★,핫뿌레이크/1,"
맛
★
4
양
★
5
배달
★
5
",3.61
218,맛있어요 순살진짜맛잇음,★★★★★,핫뿌레이크 순살/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
